Row ID,Order ID,Order Date,Customer Name,Region,Province,Product Category,Product Sub-Category,Product Name,Order Quantity,Sales,Discount,Profit,Ship Mode,Ship Date,Shipping Cost
1,ORD75928,2024-05-22,David Garcia,East,New York,Office Supplies,Pens,Pens 778,5,1338.18,0.38,-154.22,Same Day,2017-05-07,14.86
2,ORD42272,2015-08-27,David Garcia,North,Florida,Office Supplies,Pens,Pens 980,7,1065.07,0.29,-191.55,Same Day,2016-10-21,28.88
3,ORD57764,2017-01-17,John Smith,South,Texas,Office Supplies,Pens,Pens 804,5,1733.28,0.47,-578.75,Same Day,2020-02-14,33.36
4,ORD51915,2018-10-09,Bob Brown,East,Arizona,Office Supplies,Binders,Binders 276,6,400.92,0.44,-93.27,Second Class,2021-05-27,23.47
5,ORD99641,202-15-30,Liam Martinez,North,California,Furniture,Chairs,Chairs 318,4,166.81,0.14,-2.78,Second Class,2023-09-20,9.26
6,ORD82552,2020-07-22,Alice Williams,West,Washington,Furniture,Bookcases,Bookcases 985,7,1605.44,0.46,-311.33,Standard Class,2019-10-16,12.55
7,ORD11345,2019-07-08,Bob Brown,Central,Illinois,Technology,Laptops,Laptops 444,3,1498.99,0.09,19.82,Standard Class,2015-12-03,13.71
8,ORD26723,2016-01-03,Sophia Rodriguez,South,Texas,Technology,Monitors,Monitors 526,9,2805.64,0.35,-401.89,First Class,2015-01-09,17.81
9,ORD56815,2015-03-05,Jane Johnson,Central,Arizona,Office Supplies,Paper,Paper 486,4,1734.12,0.44,-243.88,Same Day,2022-05-03,28.84
10,ORD50618,2020-09-02,David Garcia,South,Washington,Office Supplies,Paper,Paper 866,6,996.01,0.09,200.21,First Class,2024-03-04,6.86
11,ORD77909,2016-04-22,Sophia Rodriguez,South,Texas,Furniture,Bookcases,Bookcases 861,2,938.65,0.02,155.62,Second Class,2024-03-16,5.2
12,ORD48685,2017-07-14,Olivia Davis,South,New York,Technology,Monitors,Monitors 757,8,2227.58,0.28,39.59,First Class,2015-02-15,33.27
13,ORD45364,2023-04-18,Liam Martinez,North,Oregon,Office Supplies,Binders,Binders 680,8,3302.69,0.13,232.83,First Class,2024-04-07,31.5
14,ORD23089,2018-09-07,Alice Williams,West,California,Office Supplies,Paper,Paper 551,1,51.74,0.09,8.54,First Class,2017-08-19,19.89
15,ORD21627,2018-07-20,Alice Williams,East,Florida,Office Supplies,Binders,Binders 830,2,733.69,0.41,-161.55,Same Day,2022-07-11,11.34
16,ORD49627,202-15-30,Jane Johnson,West,New York,Furniture,Tables,Tables 674,7,731.81,0.44,-222.86,Same Day,2022-08-24,35.67
10,ORD50618,2020-09-02,David Garcia,South,Washington,Office Supplies,Paper,Paper 866,6,996.01,0.09,200.21,First Class,2024-03-04,6.86
18,ORD19270,2021-03-15,Sophia Rodriguez,Central,Oregon,Furniture,Tables,Tables 943,4,140.41,0.01,35.14,Second Class,2020-02-22,16.2
19,ORD58315,2023-01-18,Sophia Rodriguez,East,Arizona,Furniture,Tables,Tables 370,8,951.84,0.46,-189.89,Same Day,2018-10-06,36.07
20,ORD77285,2022-01-27,Olivia Davis,East,Arizona,Furniture,Bookcases,Bookcases 365,1,108.06,0.09,4.56,First Class,2020-02-10,11.31
21,ORD36168,2019-04-17,Alice Williams,East,California,Furniture,Bookcases,Bookcases 862,1,257.34,0.19,-1.71,Second Class,2015-09-08,42.24
